"Accepted","51"
"Active","36"
"Deferred","35"
"Draft","35"
"Final","325"
"Accepted","18"
"Provisional","3"
"Rejected","123"
"Superseded","24"
"Withdrawn","65"
"April Fool!","1"
"Total","665"
